model,group,users,recall@100,candidate_recall@200,period
popularity,head,2919,0.12058924289140116,0.1695786228160329,global_validation
popularity,mid,906,0.0,0.0,global_validation
popularity,tail,1245,0.0,0.0,global_validation
popularity,strict_cold,2642,0.0,0.0,global_validation
itemcf,head,2919,0.14011647824597465,0.2014388489208633,global_validation
itemcf,mid,906,0.08719646799116998,0.11699779249448124,global_validation
itemcf,tail,1245,0.05943775100401606,0.08273092369477912,global_validation
itemcf,strict_cold,2642,0.0,0.0,global_validation
content,head,2919,0.09284001370332305,0.14319972593353889,global_validation
content,mid,906,0.10375275938189846,0.1490066225165563,global_validation
content,tail,1245,0.10602409638554217,0.1461847389558233,global_validation
content,strict_cold,2642,0.16124148372445118,0.23996971990915972,global_validation
two_collaborative,head,2919,0.14182939362795477,0.22850291195614936,global_validation
two_collaborative,mid,906,0.05187637969094923,0.08940397350993377,global_validation
two_collaborative,tail,1245,0.04176706827309237,0.06104417670682731,global_validation
two_collaborative,strict_cold,2642,0.0,0.0,global_validation
hybrid_content_collaborative,head,2919,0.1593011305241521,0.22439191503939707,global_validation
hybrid_content_collaborative,mid,906,0.08388520971302428,0.1291390728476821,global_validation
hybrid_content_collaborative,tail,1245,0.07951807228915662,0.1140562248995984,global_validation
hybrid_content_collaborative,strict_cold,2642,0.0643451930355791,0.12490537471612415,global_validation
popularity,head,3092,0.07438551099611902,0.14844760672703752,global_final_holdout
popularity,mid,816,0.0,0.0,global_final_holdout
popularity,tail,967,0.0,0.0,global_final_holdout
popularity,strict_cold,1227,0.0,0.0,global_final_holdout
itemcf,head,3092,0.12548512289780078,0.17658473479948253,global_final_holdout
itemcf,mid,816,0.10784313725490197,0.14460784313725492,global_final_holdout
itemcf,tail,967,0.05894519131334023,0.0796277145811789,global_final_holdout
itemcf,strict_cold,1227,0.0,0.0,global_final_holdout
content,head,3092,0.10963777490297542,0.1626778783958603,global_final_holdout
content,mid,816,0.11274509803921569,0.16911764705882354,global_final_holdout
content,tail,967,0.0734229576008273,0.12409513960703206,global_final_holdout
content,strict_cold,1227,0.15729421352893236,0.2273838630806846,global_final_holdout
two_collaborative,head,3092,0.1203104786545925,0.18467011642949546,global_final_holdout
two_collaborative,mid,816,0.06004901960784314,0.10784313725490197,global_final_holdout
two_collaborative,tail,967,0.04239917269906929,0.05894519131334023,global_final_holdout
two_collaborative,strict_cold,1227,0.0,0.0,global_final_holdout
hybrid_content_collaborative,head,3092,0.148124191461837,0.2095730918499353,global_final_holdout
hybrid_content_collaborative,mid,816,0.10294117647058823,0.14338235294117646,global_final_holdout
hybrid_content_collaborative,tail,967,0.06514994829369183,0.09307135470527404,global_final_holdout
hybrid_content_collaborative,strict_cold,1227,0.07416462917685411,0.12306438467807661,global_final_holdout
