feature,gain,split
itemcf_score,15676.717683792114,365
itemcf_rank,15312.869975090027,148
popularity_rank,12076.335947036743,268
popularity_score,11142.79771232605,256
rrf_score,8170.893592834473,152
days_since_last_action,7152.45098400116,292
item_mean_rating,4136.104774475098,195
two_tower_score,3812.435489654541,160
item_rating_std,3675.6809158325195,177
source_count,3615.8008346557617,4
two_tower_rank,2620.208438873291,99
user_history_length,2339.2105951309204,114
user_mean_rating,1777.935803413391,86
user_rating_std,1515.6858005523682,81
best_source_rank,1482.4825925827026,52
item_popularity_log,1166.2017011642456,41
