feature,gain,split
source_count,11702.03500366211,10
rrf_score,11283.765125274658,67
popularity_score,6013.681369781494,89
itemcf_score,4977.223611831665,84
popularity_rank,4838.4571895599365,58
itemcf_rank,4145.8737506866455,37
days_since_last_action,3159.599000930786,73
content_score,2010.275396347046,38
content_rank,1654.4689102172852,32
item_popularity_log,1355.431505203247,16
two_tower_score,1269.0106983184814,30
item_mean_rating,1250.5215015411377,39
two_tower_rank,1220.8750019073486,29
best_source_rank,1108.9856986999512,14
user_history_length,870.5222015380859,25
item_rating_std,826.8248977661133,24
user_rating_std,365.6879024505615,13
user_mean_rating,358.94359970092773,12
